Date,Open,High,Low,Close,Volume
2021-11-05,462.2846574970093,463.6342307265717,459.95985136254177,461.54583740234375,66390600
2021-11-08,462.6984521617913,463.22055054044796,461.22081183774384,461.9399108886719,50405200
2021-11-09,462.32407813638133,462.57035150578884,458.93535416832054,460.4129943847656,51149100
2021-11-10,458.63985090660196,460.4130373694832,455.15264131534184,456.7090759277344,69429700
2021-11-11,458.27534859903824,458.35417291583184,456.83712047557333,456.8568115234375,34848500
2021-11-12,458.1866814636852,460.8858280192206,457.19172741394357,460.30462646484375,53466700
2021-11-15,461.6542345418459,461.8216836025759,459.28015558764304,460.4622497558594,46980500
2021-11-16,460.18641404234324,463.476622664264,460.10761979136737,462.28466796875,48857500
2021-11-17,462.008848102596,462.1960182712331,460.51151681616716,461.16168212890625,47858300
2021-11-18,462.24528055160727,463.0038218133507,459.388515313826,462.7279968261719,50625600
2021-11-19,462.6097511659769,463.919942376069,461.5163117943677,461.9005126953125,57315600
2021-11-22,463.87070694484504,466.4811987877852,460.3834674297967,460.6001892089844,72762000
2021-11-23,460.25536512881183,462.1073456337604,457.52666708172603,461.2109069824219,73206500
2021-11-24,459.11267044699287,462.5703582237442,458.2556439190348,462.4422912597656,61858800
2021-11-26,455.4481171600917,456.9848605880097,450.9462327293489,452.12835693359375,112669600
2021-11-29,457.15234013278007,459.6052132868019,454.8472249887594,457.6744384765625,86268800
2021-11-30,455.11320014550046,457.11293876181486,448.51306162481666,448.7691955566406,148559600
2021-12-01,454.7585625872926,457.7433945901328,443.57774572304714,443.78460693359375,131939200
2021-12-02,444.01119984453203,452.2268759486868,443.5974473509027,450.5817565917969,127637800
2021-12-03,452.3253898476043,453.43852023575164,442.2281816015183,446.6611022949219,137331600
2021-12-06,449.33069751892725,453.92123678080793,446.7990000395724,451.9510498046875,98977500
2021-12-07,457.4872839626471,461.89065318734845,451.8131356831209,461.2995910644531,95484700
2021-12-08,461.71336429127695,462.99397389613455,459.87121407866465,462.5211181640625,72238800
2021-12-09,461.1715328043396,462.62948205998595,459.19151523985863,459.39837646484375,61272600
2021-12-10,462.23546008133275,463.88054948467556,459.5560044066399,463.7229309082031,77159800
2021-12-13,463.1811154492322,463.5455952344251,459.31953569933046,459.6150817871094,87724700
